G.STA. CLAR,"A, SON","(31 42 N, 114 30 W)"
Fecha Inici,al: 2018/0,01-ene
Fecha Final,:   2018/1,ene-13
Zona de Tie,mpo: 0,
Intervalo d,e Muestreo,: 60 minuto(s)
Nivel de Re,ferencia:,Bajamar Media Inferior (NBMI)
Alturas en,metros,
01/01/2018,01 00 00,-0.805
01/01/2018,02 00 00,-1.238
01/01/2018,03 00 00,-0.906
01/01/2018,04 00 00,0.148
01/01/2018,05 00 00,1.697
01/01/2018,06 00 00,3.388
01/01/2018,07 00 00,4.827
01/01/2018,08 00 00,5.682
01/01/2018,09 00 00,5.765
01/01/2018,10 00 00,5.082
01/01/2018,11 00 00,3.826
01/01/2018,12 00 00,2.329
01/01/2018,13 00 00,0.975
01/01/2018,14 00 00,0.098
01/01/2018,15 00 00,-0.101
01/01/2018,16 00 00,0.402
01/01/2018,17 00 00,1.447
01/01/2018,18 00 00,2.736
01/01/2018,19 00 00,3.908
01/01/2018,20 00 00,4.633
01/01/2018,21 00 00,4.692
01/01/2018,22 00 00,4.04
01/01/2018,23 00 00,2.813
02/01/2018,00 00 00,1.303
02/01/2018,01 00 00,-0.112
02/01/2018,02 00 00,-1.066
02/01/2018,03 00 00,-1.294
02/01/2018,04 00 00,-0.703
02/01/2018,05 00 00,0.596
02/01/2018,06 00 00,2.316
02/01/2018,07 00 00,4.059
02/01/2018,08 00 00,5.421
02/01/2018,09 00 00,6.09
02/01/2018,10 00 00,5.929
02/01/2018,11 00 00,5.008
02/01/2018,12 00 00,3.582
02/01/2018,13 00 00,2.026
02/01/2018,14 00 00,0.733
02/01/2018,15 00 00,0.017
02/01/2018,16 00 00,0.035
02/01/2018,17 00 00,0.748
02/01/2018,18 00 00,1.941
02/01/2018,19 00 00,3.274
02/01/2018,20 00 00,4.377
02/01/2018,21 00 00,4.939
02/01/2018,22 00 00,4.787
02/01/2018,23 00 00,3.934
03/01/2018,00 00 00,2.572
03/01/2018,01 00 00,1.033
03/01/2018,02 00 00,-0.296
03/01/2018,03 00 00,-1.066
03/01/2018,04 00 00,-1.061
03/01/2018,05 00 00,-0.248
03/01/2018,06 00 00,1.202
03/01/2018,07 00 00,2.961
03/01/2018,08 00 00,4.62
03/01/2018,09 00 00,5.794
03/01/2018,10 00 00,6.221
03/01/2018,11 00 00,5.824
03/01/2018,12 00 00,4.733
03/01/2018,13 00 00,3.246
03/01/2018,14 00 00,1.747
03/01/2018,15 00 00,0.612
03/01/2018,16 00 00,0.107
03/01/2018,17 00 00,0.33
03/01/2018,18 00 00,1.188
03/01/2018,19 00 00,2.426
03/01/2018,20 00 00,3.696
03/01/2018,21 00 00,4.647
03/01/2018,22 00 00,5.012
03/01/2018,23 00 00,4.676
04/01/2018,00 00 00,3.705
04/01/2018,01 00 00,2.329
04/01/2018,02 00 00,0.887
04/01/2018,03 00 00,-0.254
04/01/2018,04 00 00,-0.796
04/01/2018,05 00 00,-0.578
04/01/2018,06 00 00,0.371
04/01/2018,07 00 00,1.845
04/01/2018,08 00 00,3.502
04/01/2018,09 00 00,4.957
04/01/2018,10 00 00,5.874
04/01/2018,11 00 00,6.054
04/01/2018,12 00 00,5.48
04/01/2018,13 00 00,4.325
04/01/2018,14 00 00,2.897
04/01/2018,15 00 00,1.56
04/01/2018,16 00 00,0.641
04/01/2018,17 00 00,0.347
04/01/2018,18 00 00,0.716
04/01/2018,19 00 00,1.617
04/01/2018,20 00 00,2.787
04/01/2018,21 00 00,3.898
04/01/2018,22 00 00,4.648
04/01/2018,23 00 00,4.829
05/01/2018,00 00 00,4.382
05/01/2018,01 00 00,3.408
05/01/2018,02 00 00,2.144
05/01/2018,03 00 00,0.906
05/01/2018,04 00 00,0.01
05/01/2018,05 00 00,-0.307
05/01/2018,06 00 00,0.054
05/01/2018,07 00 00,1.025
05/01/2018,08 00 00,2.388
05/01/2018,09 00 00,3.825
05/01/2018,10 00 00,5.002
05/01/2018,11 00 00,5.648
05/01/2018,12 00 00,5.629
05/01/2018,13 00 00,4.975
05/01/2018,14 00 00,3.871
05/01/2018,15 00 00,2.607
05/01/2018,16 00 00,1.497
05/01/2018,17 00 00,0.804
05/01/2018,18 00 00,0.672
05/01/2018,19 00 00,1.096
05/01/2018,20 00 00,1.933
05/01/2018,21 00 00,2.939
05/01/2018,22 00 00,3.838
05/01/2018,23 00 00,4.389
06/01/2018,00 00 00,4.444
06/01/2018,01 00 00,3.984
06/01/2018,02 00 00,3.122
06/01/2018,03 00 00,2.071
06/01/2018,04 00 00,1.097
06/01/2018,05 00 00,0.448
06/01/2018,06 00 00,0.299
06/01/2018,07 00 00,0.702
06/01/2018,08 00 00,1.576
06/01/2018,09 00 00,2.72
06/01/2018,10 00 00,3.867
06/01/2018,11 00 00,4.751
06/01/2018,12 00 00,5.169
06/01/2018,13 00 00,5.038
06/01/2018,14 00 00,4.41
06/01/2018,15 00 00,3.455
06/01/2018,16 00 00,2.416
06/01/2018,17 00 00,1.545
06/01/2018,18 00 00,1.037
06/01/2018,19 00 00,0.987
06/01/2018,20 00 00,1.37
